host_id,region,disk_usage,network_errors,uptime_hours,log_time
SRV_100,Delhi,42.38,,887,2026-05-26 10:00:00
SRV_101,Chennai,36.68,,1270,2026-05-26 10:01:00
SRV_102,Hyderabad,150.0,4.0,685,2026-05-24 10:00:00
SRV_103,Chennai,29.42,,1408,INVALID_DATE
SRV_104,Chennai,53.77,,1302,2026-05-26 10:04:00
SRV_105,Pune,48.18,5.0,1310,2026-05-26 10:05:00
SRV_106,Bangalore,82.39,,1296,2026-05-26 10:06:00
SRV_107,Hyderabad,33.27,,275,2026-05-26 10:07:00
SRV_108,Bangalore,69.19,0.0,1099,2026-05-26 10:08:00
SRV_109,Bangalore,83.49,,604,2026-05-26 10:09:00
SRV_110,Bangalore,48.54,6.0,420,2026-05-26 10:10:00
SRV_111,Chennai,94.24,10.0,1076,2026-05-26 10:11:00
SRV_112,Mumbai,43.45,,1444,2026-05-26 10:12:00
SRV_113,Pune,-10.0,10.0,1182,2026-05-26 10:13:00
SRV_114,Chennai,42.99,0.0,1874,2026-05-26 10:14:00
SRV_115,Delhi,59.8,,125,2026-05-26 10:15:00
SRV_116,Hyderabad,24.95,2.0,920,2026-05-26 10:16:00
SRV_117,Bangalore,33.83,,1729,2026-05-26 10:17:00
SRV_118,Chennai,-10.0,,222,2026-05-26 10:18:00
SRV_119,Bangalore,68.48,,1126,2026-05-26 10:19:00
SRV_120,Hyderabad,87.75,,370,2026-05-26 10:20:00
SRV_121,Bangalore,26.52,,1768,2026-05-26 10:21:00
SRV_122,Hyderabad,101.0,9.0,1064,2026-05-26 10:22:00
SRV_123,Chennai,97.02,,1147,2026-05-26 10:23:00
SRV_124,Delhi,150.0,5.0,356,2026-05-26 10:24:00
SRV_125,Mumbai,89.82,,1103,2026-05-26 10:25:00
SRV_126,Pune,58.19,,1043,2026-05-26 10:26:00
SRV_127,Chennai,72.33,,1066,2026-05-26 10:27:00
SRV_128,Chennai,62.05,10.0,1089,2026-05-26 10:28:00
SRV_129,Delhi,85.38,,1550,2026-05-26 10:29:00
SRV_130,Chennai,-10.0,9.0,75,2026-05-26 10:30:00
SRV_131,Chennai,24.86,8.0,1475,2026-05-26 10:31:00
SRV_132,Mumbai,59.61,,958,2026-05-26 10:32:00
SRV_133,Bangalore,101.0,8.0,819,2026-05-26 10:33:00
SRV_134,Mumbai,98.82,2.0,583,2026-05-26 10:34:00
SRV_135,Hyderabad,59.25,,1384,2026-05-26 10:35:00
SRV_136,Delhi,37.93,,178,2026-05-26 10:36:00
SRV_137,Pune,43.04,3.0,827,2026-05-26 10:37:00
SRV_138,Mumbai,44.27,5.0,73,2026-05-26 10:38:00
SRV_139,Pune,75.4,6.0,77,2026-05-26 10:39:00
SRV_140,Hyderabad,75.86,,1383,2026-05-26 10:40:00
SRV_141,Hyderabad,76.88,3.0,1613,2026-05-26 10:41:00
SRV_142,Mumbai,57.5,,1006,2026-05-26 10:42:00
SRV_143,Delhi,64.7,5.0,504,2026-05-26 10:43:00
SRV_144,Mumbai,47.72,,534,2026-05-26 10:44:00
SRV_145,Bangalore,150.0,6.0,1868,2026-05-26 10:45:00
SRV_146,Mumbai,101.0,,536,2026-05-26 10:46:00
SRV_147,Pune,62.44,,940,2026-05-26 10:47:00
SRV_148,Pune,48.44,,187,2026-05-26 10:48:00
SRV_149,Delhi,87.96,,231,2026-05-26 10:49:00
SRV_150,Pune,50.17,,1370,2026-05-26 10:50:00
SRV_151,Hyderabad,86.65,2.0,1963,2026-05-26 10:51:00
SRV_152,Bangalore,51.92,,1186,2026-05-26 10:52:00
SRV_153,Pune,30.71,,1074,2026-05-26 10:53:00
SRV_154,Delhi,96.44,,728,2026-05-26 10:54:00
SRV_155,Chennai,150.0,10.0,1830,2026-05-26 10:55:00
SRV_156,Mumbai,88.91,4.0,1408,2026-05-26 10:56:00
SRV_157,Chennai,62.67,,906,2026-05-26 10:57:00
SRV_158,Chennai,56.62,10.0,789,2026-05-21 10:00:00
SRV_159,Bangalore,86.88,3.0,1393,2026-05-26 10:59:00
SRV_160,Hyderabad,30.27,7.0,665,2026-05-26 11:00:00
SRV_161,Delhi,74.18,4.0,1123,2026-05-26 11:01:00
SRV_162,Delhi,82.92,9.0,1673,2026-05-26 11:02:00
SRV_163,Delhi,28.41,,1268,2026-05-26 11:03:00
SRV_164,Bangalore,26.15,7.0,928,2026-05-26 11:04:00
SRV_165,Hyderabad,36.87,0.0,1579,2026-05-26 11:05:00
SRV_166,Mumbai,82.53,,1603,2026-05-26 11:06:00
SRV_167,Mumbai,33.35,3.0,65,2026-05-26 11:07:00
SRV_168,Mumbai,23.07,,1883,INVALID_DATE
SRV_169,Hyderabad,43.67,,1756,INVALID_DATE
SRV_170,Delhi,101.0,,1622,2026-05-26 11:10:00
SRV_171,Chennai,79.33,7.0,1801,2026-05-26 11:11:00
SRV_172,Delhi,-10.0,,329,2026-05-26 11:12:00
SRV_173,Pune,66.18,6.0,159,2026-05-26 11:13:00
SRV_174,Pune,20.18,,1935,2026-05-26 11:14:00
SRV_175,Mumbai,33.13,1.0,402,2026-05-26 11:15:00
SRV_176,Hyderabad,90.19,,142,2026-05-26 11:16:00
SRV_177,Chennai,101.0,,1691,2026-05-26 11:17:00
SRV_178,Hyderabad,70.4,,271,2026-05-26 11:18:00
SRV_179,Hyderabad,26.77,,675,2026-05-26 11:19:00
SRV_180,Chennai,68.8,9.0,1445,2026-05-26 11:20:00
SRV_181,Chennai,71.98,,938,INVALID_DATE
SRV_182,Mumbai,46.25,6.0,1464,2026-05-26 11:22:00
SRV_183,Delhi,65.31,,1207,2026-05-26 11:23:00
SRV_184,Pune,86.63,7.0,1651,2026-05-26 11:24:00
SRV_185,Pune,54.69,4.0,115,2026-05-26 11:25:00
SRV_186,Mumbai,-10.0,,381,2026-05-26 11:26:00
SRV_187,Mumbai,48.59,7.0,1274,2026-05-26 11:27:00
SRV_188,Chennai,25.98,3.0,1385,2026-05-26 11:28:00
SRV_189,Pune,85.02,,720,2026-05-26 11:29:00
SRV_190,Pune,101.0,,878,2026-05-26 11:30:00
SRV_191,Delhi,57.8,3.0,1297,2026-05-26 11:31:00
SRV_192,Mumbai,50.98,2.0,1913,2026-05-26 11:32:00
SRV_193,Chennai,40.45,5.0,1123,2026-05-26 11:33:00
SRV_194,Delhi,80.58,,665,2026-05-26 11:34:00
SRV_195,Chennai,-10.0,,993,2026-05-26 11:35:00
SRV_196,Delhi,39.89,,1773,2026-05-26 11:36:00
SRV_197,Pune,41.78,0.0,1367,2026-05-26 11:37:00
SRV_198,Delhi,64.58,,1650,2026-05-26 11:38:00
SRV_199,Pune,21.09,,1387,INVALID_DATE
SRV_200,Chennai,,7.0,1155,2026-05-26 11:40:00
SRV_201,Bangalore,150.0,,1153,2026-05-26 11:41:00
SRV_202,Hyderabad,58.06,2.0,1838,2026-05-26 11:42:00
SRV_203,Bangalore,84.21,,1946,2026-05-26 11:43:00
SRV_204,Pune,52.98,,1468,2026-05-26 11:44:00
SRV_205,Chennai,93.73,5.0,360,2026-05-22 10:00:00
SRV_206,Mumbai,101.0,,1856,2026-05-26 11:46:00
SRV_207,Bangalore,92.64,,266,2026-05-26 11:47:00
SRV_208,Pune,58.46,5.0,893,2026-05-26 11:48:00
SRV_209,Chennai,26.24,6.0,396,2026-05-26 11:49:00
SRV_210,Delhi,35.33,,1169,2026-05-26 11:50:00
SRV_211,Bangalore,42.51,3.0,1727,2026-05-26 11:51:00
SRV_212,Chennai,27.54,7.0,99,2026-05-26 11:52:00
SRV_213,Chennai,21.12,,1197,2026-05-26 11:53:00
SRV_214,Chennai,24.72,,1371,2026-05-26 11:54:00
